ID,District,Block,CultLand,CropCultLand,LandPreparationMethod,CropTillageDate,CropTillageDepth,CropEstMethod,RcNursEstDate,SeedingSowingTransplanting,SeedlingsPerPit,NursDetFactor,TransDetFactor,TransplantingIrrigationHours,TransplantingIrrigationSource,TransplantingIrrigationPowerSource,TransIrriCost,StandingWater,OrgFertilizers,Ganaura,CropOrgFYM,PCropSolidOrgFertAppMethod,NoFertilizerAppln,CropbasalFerts,BasalDAP,BasalUrea,MineralFertAppMethod,FirstTopDressFert,1tdUrea,1appDaysUrea,2tdUrea,2appDaysUrea,MineralFertAppMethod.1,Harv_method,Harv_date,Harv_hand_rent,Threshing_date,Threshing_method,Residue_length,Residue_perc,Stubble_use,Acre,Yield
1180,2,7,50.0,40.0,41,42,6.0,3,24,13,2.0,24,24,6.0,0,1,120.0,4.0,5,4.0,57.44565217391305,2,2.0,0,13.0,13.35180055401662,2,4,26.0,26.0,7.375,58.76495726495727,0,0,80,600.0,91,1,25.0,10.0,1,0.40625,1200.0
209,2,6,40.0,35.0,15,45,5.0,3,17,16,1.0,1,129,6.0,0,1,120.0,3.0,5,29.731589814177564,57.44565217391305,2,1.0,23,11.452359483017734,25.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,27,1200.0,27,1,25.0,10.0,1,0.375,720.0
1811,1,4,19.0,15.0,15,55,4.0,3,33,34,1.0,71,127,2.0,0,0,250.0,2.0,0,29.731589814177564,2.0,2,3.0,0,10.0,13.35180055401662,0,9,10.0,23.0,10.0,65.0,0,0,69,900.0,71,0,23.0,10.0,1,0.4545454545454545,1100.0
3599,3,5,5.0,3.0,42,34,5.0,3,25,9,2.0,28,21,1.0,1,0,100.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,24,5.0,5.0,2,9,5.0,35.0,7.375,58.76495726495727,2,0,22,150.0,19,0,30.0,10.0,1,0.0909090909090909,250.0
3186,3,5,13.0,12.0,18,6,5.0,3,12,21,2.0,0,36,3.0,0,0,6000.0,2.0,0,29.731589814177564,1.0,0,3.0,0,2.0,13.35180055401662,0,9,8.0,25.0,8.0,50.0,0,0,22,800.0,20,0,30.0,10.0,1,0.1818181818181818,8.0
117,3,0,5.0,5.0,18,43,5.0,3,36,27,1.0,49,94,5.0,1,0,800.0,2.0,5,2.0,57.44565217391305,2,2.0,9,10.0,12.0,0,10,8.0,8.0,7.375,58.76495726495727,0,0,25,200.0,20,0,25.0,10.0,1,0.2272727272727273,400.0
2211,3,5,20.0,8.0,18,24,4.0,3,1,3,2.0,1,47,4.0,0,1,600.0,2.0,6,1.0,3.0,2,3.0,0,24.0,13.35180055401662,0,9,24.0,20.0,16.0,60.0,0,0,43,1600.0,40,0,30.0,10.0,1,0.3636363636363636,400.0
3414,1,3,9.0,9.0,39,24,4.0,3,28,44,3.0,0,0,4.0,0,1,400.0,1.0,5,3.0,57.44565217391305,0,2.0,9,15.0,15.0,0,9,10.0,10.0,7.375,58.76495726495727,0,0,49,200.0,108,1,26.0,10.0,1,0.1818181818181818,320.0
507,1,3,10.0,10.0,39,37,4.0,3,35,25,3.0,0,0,4.0,0,1,400.0,1.0,5,4.0,57.44565217391305,0,2.0,9,10.0,10.0,0,9,5.0,5.0,7.375,58.76495726495727,0,0,47,300.0,108,1,26.0,10.0,1,0.2272727272727273,4000.0
3238,0,2,20.0,20.0,18,56,5.0,3,24,29,3.0,1,46,5.0,0,1,150.0,3.0,5,1.0,57.44565217391305,2,2.0,0,10.0,13.35180055401662,0,9,10.0,35.0,7.375,58.76495726495727,0,0,58,120.0,71,0,30.0,10.0,1,0.3703703703703703,800.0
3608,1,4,20.0,20.0,15,55,3.0,3,26,26,3.0,65,66,2.0,0,1,379.7269076305221,11.0,5,29.731589814177564,57.44565217391305,2,1.0,9,8.0,11.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,49,100.0,88,1,28.0,10.0,1,0.2272727272727273,400.0
1342,3,1,17.0,8.0,15,41,6.0,3,21,18,1.0,111,45,8.01767745444656,0,1,379.7269076305221,3.0,0,29.731589814177564,15.0,2,2.0,7,8.0,13.35180055401662,2,9,8.0,50.0,7.375,58.76495726495727,0,0,22,800.0,22,0,30.0,10.0,1,0.1818181818181818,380.0
2647,2,7,60.0,40.0,38,41,5.0,2,27,14,2.0,24,47,5.0,0,1,150.0,5.0,5,1.0,57.44565217391305,2,2.0,9,20.0,10.0,0,9,10.0,45.0,7.375,58.76495726495727,0,0,54,900.0,57,1,25.0,10.0,1,0.3125,600.0
2552,3,0,5.0,5.0,18,42,5.0,3,35,33,1.0,96,99,2.0,0,0,400.0,3.247522026431718,5,29.731589814177564,57.44565217391305,2,1.0,0,10.0,13.35180055401662,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,17,200.0,14,0,22.0,10.0,1,0.0909090909090909,180.0
3228,3,0,6.0,6.0,6,49,5.0,3,44,40,1.0,65,101,5.0,0,0,1000.0,2.0,5,3.0,57.44565217391305,2,2.0,9,10.0,15.0,0,4,12.0,12.0,7.375,58.76495726495727,0,0,22,200.0,19,1,23.0,10.0,1,0.2727272727272727,500.0
1973,1,4,12.0,12.0,15,28,5.0,3,37,27,3.0,18,49,1.0,1,1,379.7269076305221,3.0,5,29.731589814177564,57.44565217391305,2,3.0,0,3.0,13.35180055401662,0,9,4.0,25.0,6.0,62.0,0,0,40,200.0,67,1,28.0,10.0,1,0.1363636363636364,300.0
197,3,5,10.0,10.0,9,4,3.0,3,7,6,1.0,36,78,4.0,0,1,400.0,1.0,0,29.731589814177564,2.0,2,3.0,24,10.0,10.0,0,9,10.0,25.0,10.0,50.0,0,0,45,800.0,140,0,25.0,10.0,1,0.2272727272727273,600.0
1148,2,6,80.0,60.0,18,46,5.0,3,23,17,2.0,10,47,7.0,0,1,300.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,23,11.452359483017734,13.35180055401662,2,9,30.0,45.0,7.375,58.76495726495727,0,0,43,1200.0,68,1,26.0,10.0,1,0.46875,860.0
2309,3,0,10.0,10.0,38,45,2.0,3,56,49,2.0,4,23,7.0,0,1,379.7269076305221,3.247522026431718,6,4.0,4.0,2,2.0,9,7.0,7.0,0,9,7.0,15.0,7.375,58.76495726495727,0,0,32,2100.0,25,1,28.0,10.0,1,0.3181818181818182,410.0
2953,1,3,20.0,15.0,39,30,3.0,3,37,55,3.0,0,0,4.0,0,1,300.0,2.0,5,4.0,57.44565217391305,0,2.0,9,15.0,15.0,0,9,10.0,5.0,7.375,58.76495726495727,0,0,55,250.0,104,1,26.0,10.0,1,0.2272727272727273,400.0
2878,1,4,25.0,15.0,15,54,4.0,3,31,27,4.0,4,47,1.0,1,1,379.7269076305221,4.0,5,29.731589814177564,57.44565217391305,2,3.0,0,3.0,13.35180055401662,0,9,6.0,25.0,4.0,68.0,0,0,48,200.0,79,1,26.0,10.0,1,0.1363636363636364,300.0
3536,0,2,20.0,20.0,18,28,8.0,3,24,21,3.0,10,47,4.0,1,1,379.7269076305221,4.0,5,29.731589814177564,57.44565217391305,2,3.0,0,12.0,13.35180055401662,0,9,6.0,22.0,6.0,58.76495726495727,0,0,54,120.0,77,0,30.0,10.0,1,0.2222222222222222,480.0
2496,0,2,30.0,30.0,18,44,7.0,3,28,23,2.0,36,47,3.0,0,1,120.0,2.0,5,1.0,57.44565217391305,2,3.0,0,6.0,13.35180055401662,0,9,6.0,22.0,3.0,45.0,0,0,69,120.0,93,1,30.0,10.0,1,0.2222222222222222,498.0
469,0,8,60.0,50.0,33,31,5.0,3,29,28,2.0,25,47,12.0,3,1,379.7269076305221,3.0,5,29.731589814177564,57.44565217391305,2,2.0,9,15.0,15.0,0,9,25.0,40.0,7.375,58.76495726495727,0,0,56,100.0,54,0,25.0,10.0,1,0.5555555555555556,1200.0
3175,1,4,14.0,10.0,15,50,4.0,2,28,26,1.0,71,143,2.0,0,0,350.0,2.0,0,29.731589814177564,2.0,2,3.0,0,8.0,13.35180055401662,0,9,8.0,25.0,8.0,63.0,0,0,76,500.0,79,0,22.0,10.0,1,0.3636363636363636,900.0
1847,1,4,18.0,15.0,15,50,3.0,3,26,23,4.0,115,66,2.0,0,1,379.7269076305221,9.0,5,29.731589814177564,57.44565217391305,2,1.0,9,10.0,15.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,53,100.0,85,1,25.0,10.0,1,0.2727272727272727,500.0
3660,2,6,70.0,70.0,24,47,4.0,3,21,20,3.0,10,150,12.0,0,1,400.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,9,20.0,40.0,0,9,40.0,28.0,7.375,58.76495726495727,0,1,69,536.6224433388612,57,1,25.0,40.0,1,0.625,1000.0
1467,1,4,27.0,22.0,15,46,3.0,3,27,21,4.0,48,81,3.0,1,1,379.7269076305221,8.0,0,29.731589814177564,2.0,2,1.0,9,13.0,18.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,56,100.0,84,0,25.0,10.0,1,0.4090909090909091,700.0
3067,1,4,15.0,10.0,15,56,4.0,3,36,32,5.0,18,37,2.0,1,1,379.7269076305221,5.0,5,29.731589814177564,57.44565217391305,2,3.0,0,6.0,13.35180055401662,0,9,6.0,25.0,4.0,55.0,0,0,43,130.0,50,1,26.0,10.0,1,0.1818181818181818,240.0
761,1,4,45.0,32.0,15,55,3.0,3,33,27,5.0,38,48,2.0,1,1,379.7269076305221,4.0,0,29.731589814177564,1.0,2,3.0,0,7.0,13.35180055401662,0,9,10.0,62.0,7.0,60.0,0,0,42,130.0,57,1,25.0,10.0,1,0.2272727272727273,400.0
2745,0,2,20.0,20.0,18,54,7.0,3,31,29,2.0,10,47,2.0,0,1,80.0,2.0,5,1.0,57.44565217391305,2,2.0,0,6.0,13.35180055401662,0,9,4.0,45.0,7.375,58.76495726495727,0,0,62,120.0,85,1,30.0,10.0,1,0.1481481481481481,340.0
3578,2,7,40.0,30.0,41,41,5.0,3,28,13,2.0,24,47,5.0,0,1,150.0,5.0,5,1.0,57.44565217391305,2,2.0,9,15.0,10.0,0,9,10.0,45.0,7.375,58.76495726495727,0,0,47,900.0,49,1,24.0,10.0,1,0.3125,600.0
1533,1,3,60.0,60.0,16,54,4.0,3,18,31,4.0,1,34,5.0,0,1,1000.0,3.0,5,5.0,57.44565217391305,0,3.0,9,11.452359483017734,13.35180055401662,0,10,2.0,30.0,1.0,60.0,0,0,58,90.0,118,0,29.0,10.0,1,0.4545454545454545,800.0
1980,3,1,15.0,5.0,15,34,6.0,3,15,7,6.0,32,46,1.0,0,0,120.0,3.0,0,29.731589814177564,5.0,2,2.0,7,4.0,13.35180055401662,2,9,4.0,30.0,7.375,58.76495726495727,0,0,25,400.0,24,0,29.0,10.0,1,0.0909090909090909,140.0
3351,1,3,20.0,15.0,39,26,4.0,3,37,58,3.0,0,0,5.0,0,1,520.0,1.0,5,4.0,57.44565217391305,0,2.0,9,22.0,22.0,0,9,12.0,12.0,7.375,58.76495726495727,0,0,61,300.0,104,1,26.0,10.0,1,0.2727272727272727,480.0
473,0,8,30.0,20.0,33,29,5.0,3,30,27,3.0,24,47,12.0,3,1,379.7269076305221,2.0,5,29.731589814177564,57.44565217391305,2,2.0,24,15.0,15.0,0,9,15.0,45.0,7.375,58.76495726495727,0,0,63,800.0,63,0,22.0,10.0,1,0.5555555555555556,1200.0
3392,1,4,18.0,15.0,15,55,4.0,3,37,35,3.0,18,47,8.01767745444656,0,1,379.7269076305221,7.0,5,29.731589814177564,57.44565217391305,2,3.0,0,6.0,13.35180055401662,0,9,8.0,30.0,6.0,62.0,0,0,45,200.0,57,1,25.0,10.0,1,0.1818181818181818,340.0
2320,2,6,40.0,40.0,15,50,4.0,3,22,21,2.0,10,150,5.0,0,1,300.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,9,12.0,24.0,0,9,24.0,30.0,7.375,58.76495726495727,0,1,56,536.6224433388612,57,1,25.0,40.0,0,0.375,600.0
275,3,5,5.0,5.0,41,43,5.0,3,32,42,2.0,98,148,1.0,0,1,150.0,3.0,5,29.731589814177564,57.44565217391305,2,3.0,17,11.452359483017734,13.35180055401662,2,9,2.0,42.0,2.0,75.0,0,0,45,300.0,41,0,30.0,10.0,1,0.0454545454545454,100.0
1280,3,0,22.0,22.0,41,52,3.0,3,56,52,1.0,4,23,4.0,0,1,800.0,2.0,6,2.0,2.0,2,3.0,9,10.0,10.0,0,9,10.0,15.0,10.0,30.0,0,0,32,600.0,24,1,28.0,10.0,1,0.2272727272727273,300.0
2160,1,4,28.0,20.0,15,55,4.0,2,34,28,1.0,71,150,13.0,0,0,380.0,3.0,0,29.731589814177564,2.0,2,3.0,0,3.0,13.35180055401662,0,9,13.0,25.0,13.0,65.0,0,0,69,900.0,77,0,22.0,10.0,1,0.5909090909090909,1300.0
3249,1,3,9.0,9.0,15,52,4.0,3,27,23,8.0,92,144,4.0,0,1,400.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,9,8.0,8.0,0,9,8.0,30.0,7.375,58.76495726495727,0,0,46,400.0,110,1,29.0,10.0,1,0.1818181818181818,327.0
975,1,3,10.0,10.0,15,51,4.0,3,27,23,7.0,92,144,3.0,0,1,300.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,9,7.0,7.0,0,9,7.0,30.0,7.375,58.76495726495727,0,0,49,400.0,84,1,27.0,10.0,1,0.1818181818181818,324.0
2791,3,5,10.0,6.0,9,23,4.0,3,0,10,2.0,1,46,1.0,0,1,150.0,2.0,5,29.731589814177564,57.44565217391305,2,3.0,0,6.0,13.35180055401662,0,9,6.0,29.0,6.0,66.0,0,0,41,400.0,43,0,30.0,10.0,1,0.0909090909090909,140.0
372,0,2,20.0,20.0,18,49,7.0,2,32,27,2.0,1,47,2.0,0,1,80.0,2.0,20,1.0,57.44565217391305,0,1.0,0,4.0,13.35180055401662,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,64,60.0,85,0,30.0,10.0,1,0.1481481481481481,320.0
608,3,5,5.0,5.0,15,19,4.0,3,52,31,1.0,10,78,2.0,0,1,500.0,2.0,0,29.731589814177564,1.0,2,3.0,9,10.0,10.0,0,9,10.0,25.0,10.0,60.0,0,0,39,200.0,37,0,30.0,10.0,1,0.2272727272727273,400.0
2864,0,8,35.0,30.0,33,34,5.0,3,31,29,4.0,24,47,12.0,3,1,379.7269076305221,3.0,5,29.731589814177564,57.44565217391305,2,2.0,24,15.0,15.0,0,9,20.0,45.0,7.375,58.76495726495727,0,0,58,1000.0,59,0,20.0,10.0,1,0.5555555555555556,1050.0
1564,3,5,13.0,8.0,18,23,4.0,3,1,10,2.0,1,37,1.0,0,0,300.0,2.0,0,29.731589814177564,2.0,2,3.0,0,9.0,13.35180055401662,0,9,9.0,25.0,6.0,63.0,0,0,41,600.0,43,0,30.0,10.0,1,0.1363636363636364,240.0
3624,2,7,38.0,32.0,41,43,6.0,3,24,16,2.0,24,47,5.0,0,1,120.0,4.0,5,3.0,57.44565217391305,2,2.0,0,9.0,13.35180055401662,2,4,18.0,18.0,7.375,58.76495726495727,0,0,76,600.0,113,1,25.0,10.0,1,0.28125,800.0
2404,2,7,60.0,50.0,18,28,8.0,1,22,9,2.706506562412734,24,47,5.0,0,1,100.0,3.0,0,29.731589814177564,1.0,2,2.0,9,15.0,5.0,0,9,15.0,45.0,7.375,58.76495726495727,0,0,66,900.0,63,1,22.0,10.0,1,0.3125,10.0
389,1,3,12.0,12.0,15,68,4.0,3,43,42,12.0,92,144,6.0,0,1,600.0,2.0,5,29.731589814177564,57.44565217391305,2,1.0,9,12.0,12.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,53,500.0,105,1,28.0,10.0,1,0.2272727272727273,402.0
2215,2,6,50.0,40.0,18,39,5.0,3,19,10,2.0,10,47,4.0,0,1,200.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,23,11.452359483017734,20.0,0,9,16.0,23.0,7.375,58.76495726495727,0,1,51,536.6224433388612,38,1,25.0,40.0,1,0.3125,580.0
839,1,4,40.0,30.0,15,52,4.0,3,31,27,1.0,19,47,3.0,1,1,379.7269076305221,8.0,0,29.731589814177564,1.0,2,3.0,0,10.0,13.35180055401662,0,9,5.0,25.0,7.0,60.0,0,0,44,120.0,56,1,24.0,10.0,1,0.2272727272727273,450.0
752,3,5,20.0,10.0,18,23,4.0,3,2,10,2.0,1,46,3.0,0,1,600.0,2.0,0,29.731589814177564,2.0,2,3.0,0,15.0,13.35180055401662,0,9,15.0,28.0,10.0,60.0,0,0,42,1000.0,44,1,30.0,10.0,1,0.2272727272727273,400.0
1542,1,4,21.0,12.0,15,54,4.0,3,31,35,2.0,71,48,3.0,2,0,300.0,2.0,0,29.731589814177564,2.0,2,3.0,0,8.0,13.35180055401662,0,9,8.0,23.0,8.0,65.0,0,0,70,700.0,71,0,23.0,10.0,1,0.3636363636363636,900.0
798,1,3,6.0,6.0,15,53,4.0,3,27,24,9.0,92,109,4.0,0,1,400.0,2.0,5,29.731589814177564,57.44565217391305,2,1.0,24,9.0,9.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,51,500.0,83,1,25.0,10.0,1,0.2272727272727273,400.0
1820,1,3,30.0,30.0,39,73,4.0,3,40,47,4.0,0,0,2.0,0,1,300.0,1.0,5,3.0,57.44565217391305,0,2.0,0,10.0,13.35180055401662,0,0,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,54,1500.0,110,1,26.0,10.0,1,1.363636363636364,2400.0
3798,3,5,9.0,5.0,34,27,3.0,3,30,29,2.0,3,13,3.0,0,0,379.7269076305221,3.247522026431718,5,29.731589814177564,57.44565217391305,2,1.0,0,15.0,13.35180055401662,2,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,17,350.0,14,0,30.0,10.0,1,0.1363636363636364,300.0
3653,3,5,7.0,5.0,18,21,4.0,3,0,6,2.0,1,37,2.0,0,1,450.0,1.0,0,29.731589814177564,3.0,2,3.0,0,15.0,13.35180055401662,0,9,15.0,27.0,10.0,60.0,0,0,40,1000.0,42,1,30.0,10.0,1,0.2272727272727273,400.0
2747,3,5,20.0,5.0,9,24,4.0,3,1,10,2.0,6,10,2.0,0,1,375.0,2.0,5,29.731589814177564,57.44565217391305,2,3.0,0,15.0,13.35180055401662,0,9,15.0,20.0,10.0,60.0,0,0,43,1000.0,45,0,30.0,10.0,1,0.2272727272727273,350.0
1053,3,5,15.0,8.0,18,26,4.0,3,1,10,1.0,1,31,2.0,0,1,400.0,1.0,5,1.0,57.44565217391305,2,3.0,0,12.0,13.35180055401662,0,9,12.0,30.0,8.0,65.0,0,0,42,800.0,44,1,30.0,10.0,1,0.1818181818181818,320.0
2001,3,0,20.0,20.0,41,53,4.0,3,32,53,2.0,32,27,8.01767745444656,0,1,379.7269076305221,3.247522026431718,5,1.0,57.44565217391305,2,3.0,9,14.0,14.0,0,9,15.0,15.0,15.0,30.0,0,0,32,900.0,25,1,27.0,10.0,1,0.3181818181818182,450.0
923,2,6,30.0,25.0,15,24,5.0,3,14,5,2.0,10,23,4.0,0,1,100.0,3.247522026431718,5,1.0,57.44565217391305,0,1.0,23,11.452359483017734,18.0,0,9,11.513880506940254,29.20036210018105,7.375,58.76495726495727,0,0,32,900.0,30,1,22.0,10.0,1,0.28125,540.0
749,2,7,8.0,8.0,18,28,4.0,3,13,17,2.0,111,74,6.0,3,1,379.7269076305221,3.0,5,45.0,57.44565217391305,1,2.0,9,12.0,12.0,0,4,12.0,12.0,7.375,58.76495726495727,1,0,74,250.0,77,0,12.0,10.0,1,0.25,300.0
764,1,4,60.0,60.0,15,55,3.0,3,34,33,5.0,35,48,4.0,1,1,379.7269076305221,7.0,0,29.731589814177564,3.0,2,3.0,0,15.0,13.35180055401662,0,9,10.0,28.0,15.0,60.0,0,0,47,130.0,88,1,28.0,10.0,1,0.4545454545454545,800.0
1925,3,1,20.0,4.0,15,27,6.0,3,7,9,2.0,32,35,4.0,0,1,379.7269076305221,2.0,4,29.731589814177564,8.0,2,2.0,7,8.0,13.35180055401662,2,9,8.0,45.0,7.375,58.76495726495727,0,0,12,800.0,14,0,30.0,10.0,1,0.1818181818181818,380.0
3701,3,5,10.0,10.0,41,46,4.0,3,48,44,2.0,98,148,2.0,0,0,300.0,2.0,29,29.731589814177564,57.44565217391305,2,3.0,17,11.452359483017734,13.35180055401662,2,9,4.0,45.0,4.0,75.0,0,0,43,400.0,38,0,30.0,10.0,1,0.0909090909090909,150.0
3144,1,4,28.0,28.0,15,54,3.0,3,37,32,3.0,4,47,2.0,1,1,379.7269076305221,4.0,5,29.731589814177564,57.44565217391305,2,3.0,0,6.0,13.35180055401662,0,9,12.0,30.0,9.0,58.0,0,0,44,200.0,65,1,28.0,10.0,1,0.2727272727272727,480.0
2867,2,6,50.0,50.0,18,35,4.0,3,19,8,1.0,10,5,3.0,0,1,180.0,2.0,5,29.731589814177564,57.44565217391305,2,2.0,23,11.452359483017734,14.0,0,9,22.0,20.0,7.375,58.76495726495727,0,0,37,450.0,83,1,26.0,10.0,1,0.28125,630.0
