Attribute,Data Type,Unique Items,Available Unique Items,Missing Values,Statistical Measure Type,Statistical Measure Value
NursDetFactor,object,125,"['CalendarDate IrrigWaterAvailability SeedAvailability'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability LabourAvailability'
 'CalendarDate SeedAvailability' nan 'LabourAvailability'
 'CalendarDate IrrigWaterAvailability' 'SeedAvailability'
 'PreMonsoonShowers SeedAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability IrrigWaterAvailability'
 'CalendarDate' 'IrrigWaterAvailability LabourAvailability'
 'IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate LabourAvailability SeedAvailability'
 'CalendarDate SeedAvailability IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability SeedAvailability'
 'SeedAvailability IrrigWaterAvailability'
 'IrrigWaterAvailability CalendarDate SeedAvailability'
 'CalendarDate SeedAvailability LabourAvailability'
 'CalendarDate PreMonsoonShowers SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate LabourAvailability SeedAvailability IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability PreMonsoonShowers'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability' 'PreMonsoonShowers'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers SeedAvailability LabourAvailability'
 'IrrigWaterAvailability SeedAvailability CalendarDate'
 'PreMonsoonShowers CalendarDate'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability SeedAvailability LabourAvailability'
 'CalendarDate PreMonsoonShowers IrrigWaterAvailability'
 'SeedAvailability CalendarDate PreMonsoonShowers'
 'SeedAvailability IrrigWaterAvailability CalendarDate'
 'IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate LabourAvailability PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability'
 'CalendarDate PreMonsoonShowers'
 'IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability CalendarDate'
 'LabourAvailability IrrigWaterAvailability PreMonsoonShowers SeedAvailability'
 'LabourAvailability IrrigWaterAvailability SeedAvailability'
 'CalendarDate PreMonsoonShowers LabourAvailability SeedAvailability IrrigWaterAvailability'
 'CalendarDate LabourAvailability'
 'IrrigWaterAvailability LabourAvailability PreMonsoonShowers SeedAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability PreMonsoonShowers'
 'LabourAvailability IrrigWaterAvailability CalendarDate PreMonsoonShowers'
 'CalendarDate PreMonsoonShowers LabourAvailability SeedAvailability'
 'PreMonsoonShowers CalendarDate LabourAvailability'
 'IrrigWaterAvailability LabourAvailability SeedAvailability PreMonsoonShowers CalendarDate'
 'IrrigWaterAvailability SeedAvailability LabourAvailability'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability LabourAvailability'
 'IrrigWaterAvailability LabourAvailability CalendarDate PreMonsoonShowers'
 'SeedAvailability CalendarDate IrrigWaterAvailability'
 'PreMonsoonShowers IrrigWaterAvailability CalendarDate'
 'SeedAvailability CalendarDate'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability LabourAvailability'
 'LabourAvailability SeedAvailability IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability SeedAvailability LabourAvailability'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers LabourAvailability SeedAvailability'
 'CalendarDate LabourAvailability SeedAvailability PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability SeedAvailability PreMonsoonShowers'
 'IrrigWaterAvailability LabourAvailability PreMonsoonShowers'
 'SeedAvailability LabourAvailability IrrigWaterAvailability PreMonsoonShowers CalendarDate'
 'PreMonsoonShowers LabourAvailability SeedAvailability'
 'LabourAvailability SeedAvailability'
 'PreMonsoonShowers LabourAvailability IrrigWaterAvailability'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability LabourAvailability SeedAvailability'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers LabourAvailability'
 'CalendarDate LabourAvailability IrrigWaterAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability CalendarDate SeedAvailability'
 'IrrigWaterAvailability PreMonsoonShowers CalendarDate'
 'LabourAvailability SeedAvailability PreMonsoonShowers IrrigWaterAvailability'
 'LabourAvailability IrrigWaterAvailability'
 'IrrigWaterAvailability PreMonsoonShowers LabourAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability CalendarDate'
 'IrrigWaterAvailability LabourAvailability SeedAvailability PreMonsoonShowers'
 'IrrigWaterAvailability LabourAvailability CalendarDate'
 'SeedAvailability LabourAvailability'
 'IrrigWaterAvailability SeedAvailability LabourAvailability PreMonsoonShowers'
 'LabourAvailability PreMonsoonShowers IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability PreMonsoonShowers SeedAvailability'
 'PreMonsoonShowers LabourAvailability'
 'IrrigWaterAvailability LabourAvailability PreMonsoonShowers CalendarDate'
 'CalendarDate SeedAvailability IrrigWaterAvailability LabourAvailability'
 'SeedAvailability LabourAvailability IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability PreMonsoonShowers CalendarDate LabourAvailability SeedAvailability'
 'PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability CalendarDate'
 'IrrigWaterAvailability LabourAvailability SeedAvailability CalendarDate'
 'PreMonsoonShowers CalendarDate IrrigWaterAvailability SeedAvailability'
 'IrrigWaterAvailability CalendarDate PreMonsoonShowers LabourAvailability'
 'IrrigWaterAvailability PreMonsoonShowers SeedAvailability'
 'LabourAvailability SeedAvailability IrrigWaterAvailability PreMonsoonShowers'
 'CalendarDate PreMonsoonShowers SeedAvailability IrrigWaterAvailability LabourAvailability'
 'CalendarDate SeedAvailability PreMonsoonShowers IrrigWaterAvailability'
 'IrrigWaterAvailability CalendarDate LabourAvailability SeedAvailability'
 'LabourAvailability CalendarDate IrrigWaterAvailability'
 'CalendarDate PreMonsoonShowers SeedAvailability LabourAvailability IrrigWaterAvailability'
 'CalendarDate LabourAvailability IrrigWaterAvailability PreMonsoonShowers'
 'SeedAvailability IrrigWaterAvailability PreMonsoonShowers CalendarDate'
 'CalendarDate SeedAvailability LabourAvailability IrrigWaterAvailability'
 'SeedAvailability LabourAvailability IrrigWaterAvailability'
 'CalendarDate SeedAvailability LabourAvailability IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability CalendarDate LabourAvailability'
 'IrrigWaterAvailability CalendarDate PreMonsoonShowers SeedAvailability'
 'SeedAvailability IrrigWaterAvailability PreMonsoonShowers'
 'IrrigWaterAvailability LabourAvailability CalendarDate SeedAvailability'
 'CalendarDate LabourAvailability IrrigWaterAvailability'
 'PreMonsoonShowers SeedAvailability CalendarDate'
 'LabourAvailability IrrigWaterAvailability CalendarDate'
 'PreMonsoonShowers LabourAvailability IrrigWaterAvailability SeedAvailability'
 'SeedAvailability IrrigWaterAvailability CalendarDate PreMonsoonShowers LabourAvailability'
 'SeedAvailability LabourAvailability CalendarDate IrrigWaterAvailability'
 'IrrigWaterAvailability SeedAvailability PreMonsoonShowers'
 'PreMonsoonShowers SeedAvailability LabourAvailability IrrigWaterAvailability'
 'PreMonsoonShowers LabourAvailability CalendarDate IrrigWaterAvailability'
 'PreMonsoonShowers IrrigWaterAvailability SeedAvailability LabourAvailability CalendarDate'
 'IrrigWaterAvailability SeedAvailability CalendarDate LabourAvailability'
 'LabourAvailability CalendarDate'
 'LabourAvailability IrrigWaterAvailability PreMonsoonShowers']",289,Mode,CalendarDate PreMonsoonShowers IrrigWaterAvailability LabourAvailability SeedAvailability
TransDetFactor,object,155,"['CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability'
 'SeedlingAge IrrigWaterAvailability LaborAvailability'
 'SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge RainArrival IrrigWaterAvailability' nan
 'CalendarDate RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge'
 'CalendarDate RainArrival' 'CalendarDate SeedlingAge'
 'SeedlingAge IrrigWaterAvailability'
 'CalendarDate SeedlingAge RainArrival'
 'SeedlingAge CalendarDate RainArrival IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge IrrigWaterAvailability LaborAvailability'
 'RainArrival' 'CalendarDate'
 'IrrigWaterAvailability RainArrival SeedlingAge'
 'RainArrival IrrigWaterAvailability'
 'RainArrival IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge RainArrival LaborAvailability IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability CalendarDate'
 'CalendarDate RainArrival IrrigWaterAvailability LaborAvailability'
 'SeedlingAge LaborAvailability RainArrival IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability RainArrival'
 'CalendarDate SeedlingAge IrrigWaterAvailability LaborAvailability RainArrival'
 'CalendarDate SeedlingAge RainArrival LaborAvailability'
 'SeedlingAge RainArrival IrrigWaterAvailability'
 'SeedlingAge RainArrival' 'RainArrival SeedlingAge'
 'CalendarDate IrrigWaterAvailability SeedlingAge RainArrival'
 'CalendarDate IrrigWaterAvailability RainArrival SeedlingAge LaborAvailability'
 'CalendarDate RainArrival SeedlingAge IrrigWaterAvailability'
 'CalendarDate RainArrival LaborAvailability' 'LaborAvailability'
 'CalendarDate SeedlingAge IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LaborAvailability SeedlingAge'
 'IrrigWaterAvailability' 'SeedlingAge'
 'IrrigWaterAvailability SeedlingAge'
 'SeedlingAge IrrigWaterAvailability LaborAvailability RainArrival'
 'CalendarDate RainArrival IrrigWaterAvailability SeedlingAge'
 'SeedlingAge RainArrival LaborAvailability CalendarDate'
 'SeedlingAge CalendarDate IrrigWaterAvailability LaborAvailability'
 'SeedlingAge CalendarDate IrrigWaterAvailability RainArrival'
 'CalendarDate SeedlingAge IrrigWaterAvailability RainArrival'
 'LaborAvailability CalendarDate IrrigWaterAvailability'
 'IrrigWaterAvailability LaborAvailability'
 'CalendarDate IrrigWaterAvailability RainArrival SeedlingAge'
 'LaborAvailability IrrigWaterAvailability RainArrival SeedlingAge CalendarDate'
 'SeedlingAge IrrigWaterAvailability RainArrival CalendarDate'
 'RainArrival CalendarDate'
 'CalendarDate IrrigWaterAvailability LaborAvailability RainArrival'
 'RainArrival IrrigWaterAvailability SeedlingAge'
 'CalendarDate IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability' 'SeedlingAge CalendarDate'
 'SeedlingAge IrrigWaterAvailability RainArrival'
 'LaborAvailability IrrigWaterAvailability RainArrival SeedlingAge'
 'RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge CalendarDate'
 'SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability CalendarDate'
 'SeedlingAge RainArrival LaborAvailability IrrigWaterAvailability'
 'RainArrival CalendarDate IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability LaborAvailability'
 'CalendarDate LaborAvailability IrrigWaterAvailability RainArrival'
 'RainArrival SeedlingAge CalendarDate'
 'IrrigWaterAvailability SeedlingAge LaborAvailability'
 'CalendarDate SeedlingAge LaborAvailability IrrigWaterAvailability'
 'SeedlingAge CalendarDate RainArrival IrrigWaterAvailability'
 'CalendarDate SeedlingAge IrrigWaterAvailability RainArrival LaborAvailability'
 'IrrigWaterAvailability CalendarDate LaborAvailability'
 'IrrigWaterAvailability SeedlingAge CalendarDate'
 'IrrigWaterAvailability CalendarDate'
 'CalendarDate RainArrival IrrigWaterAvailability'
 'CalendarDate RainArrival LaborAvailability SeedlingAge IrrigWaterAvailability'
 'IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge'
 'CalendarDate IrrigWaterAvailability LaborAvailability SeedlingAge RainArrival'
 'SeedlingAge RainArrival CalendarDate IrrigWaterAvailability'
 'RainArrival LaborAvailability'
 'IrrigWaterAvailability RainArrival SeedlingAge CalendarDate'
 'CalendarDate IrrigWaterAvailability RainArrival'
 'LaborAvailability IrrigWaterAvailability SeedlingAge CalendarDate'
 'IrrigWaterAvailability LaborAvailability RainArrival'
 'IrrigWaterAvailability RainArrival LaborAvailability'
 'SeedlingAge CalendarDate RainArrival'
 'CalendarDate RainArrival IrrigWaterAvailability SeedlingAge LaborAvailability'
 'LaborAvailability IrrigWaterAvailability RainArrival CalendarDate'
 'SeedlingAge CalendarDate LaborAvailability IrrigWaterAvailability'
 'RainArrival IrrigWaterAvailability SeedlingAge LaborAvailability'
 'CalendarDate LaborAvailability'
 'SeedlingAge RainArrival IrrigWaterAvailability CalendarDate'
 'SeedlingAge LaborAvailability'
 'SeedlingAge CalendarDate IrrigWaterAvailability'
 'LaborAvailability CalendarDate SeedlingAge'
 'RainArrival SeedlingAge IrrigWaterAvailability'
 'CalendarDate IrrigWaterAvailability SeedlingAge'
 'CalendarDate SeedlingAge LaborAvailability IrrigWaterAvailability RainArrival'
 'IrrigWaterAvailability LaborAvailability SeedlingAge'
 'CalendarDate IrrigWaterAvailability SeedlingAge LaborAvailability'
 'IrrigWaterAvailability RainArrival SeedlingAge CalendarDate LaborAvailability'
 'CalendarDate SeedlingAge LaborAvailability'
 'RainArrival CalendarDate SeedlingAge IrrigWaterAvailability'
 'SeedlingAge IrrigWaterAvailability CalendarDate'
 'CalendarDate LaborAvailability RainArrival IrrigWaterAvailability'
 'CalendarDate RainArrival SeedlingAge'
 'LaborAvailability IrrigWaterAvailability CalendarDate SeedlingAge'
 'CalendarDate LaborAvailability IrrigWaterAvailability'
 'LaborAvailability SeedlingAge IrrigWaterAvailability'
 'CalendarDate RainArrival SeedlingAge LaborAvailability IrrigWaterAvailability'
 'CalendarDate RainArrival SeedlingAge IrrigWaterAvailability LaborAvailability'
 'IrrigWaterAvailability RainArrival'
 'RainArrival SeedlingAge CalendarDate IrrigWaterAvailability LaborAvailability'
 'SeedlingAge IrrigWaterAvailability CalendarDate RainArrival LaborAvailability'
 'SeedlingAge IrrigWaterAvailability CalendarDate LaborAvailability'
 'IrrigWaterAvailability SeedlingAge RainArrival'
 'CalendarDate RainArrival LaborAvailability IrrigWaterAvailability'
 'IrrigWaterAvailability LaborAvailability CalendarDate SeedlingAge'
 'SeedlingAge IrrigWaterAvailability RainArrival LaborAvailability'
 'SeedlingAge RainArrival CalendarDate IrrigWaterAvailability LaborAvailability'
 'LaborAvailability RainArrival SeedlingAge'
 'SeedlingAge LaborAvailability IrrigWaterAvailability RainArrival'
 'IrrigWaterAvailability LaborAvailability RainArrival CalendarDate'
 'SeedlingAge CalendarDate LaborAvailability'
 'RainArrival SeedlingAge CalendarDate LaborAvailability IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability SeedlingAge RainArrival CalendarDate'
 'LaborAvailability RainArrival SeedlingAge CalendarDate'
 'IrrigWaterAvailability LaborAvailability RainArrival CalendarDate SeedlingAge'
 'LaborAvailability IrrigWaterAvailability SeedlingAge'
 'CalendarDate LaborAvailability SeedlingAge RainArrival'
 'IrrigWaterAvailability RainArrival CalendarDate LaborAvailability'
 'RainArrival CalendarDate SeedlingAge'
 'RainArrival SeedlingAge IrrigWaterAvailability LaborAvailability'
 'CalendarDate SeedlingAge LaborAvailability RainArrival'
 'CalendarDate IrrigWaterAvailability RainArrival LaborAvailability'
 'RainArrival SeedlingAge CalendarDate LaborAvailability'
 'CalendarDate IrrigWaterAvailability SeedlingAge RainArrival LaborAvailability'
 'RainArrival LaborAvailability SeedlingAge IrrigWaterAvailability'
 'SeedlingAge LaborAvailability IrrigWaterAvailability CalendarDate'
 'SeedlingAge IrrigWaterAvailability LaborAvailability CalendarDate'
 'RainArrival IrrigWaterAvailability CalendarDate SeedlingAge LaborAvailability'
 'SeedlingAge RainArrival LaborAvailability'
 'IrrigWaterAvailability SeedlingAge RainArrival CalendarDate'
 'SeedlingAge CalendarDate RainArrival LaborAvailability IrrigWaterAvailability'
 'LaborAvailability SeedlingAge'
 'CalendarDate LaborAvailability IrrigWaterAvailability SeedlingAge RainArrival'
 'SeedlingAge RainArrival CalendarDate'
 'RainArrival LaborAvailability CalendarDate'
 'IrrigWaterAvailability CalendarDate SeedlingAge'
 'LaborAvailability RainArrival'
 'IrrigWaterAvailability RainArrival LaborAvailability SeedlingAge'
 'CalendarDate IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge'
 'CalendarDate SeedlingAge LaborAvailability RainArrival IrrigWaterAvailability'
 'LaborAvailability IrrigWaterAvailability CalendarDate SeedlingAge RainArrival'
 'LaborAvailability IrrigWaterAvailability RainArrival CalendarDate SeedlingAge'
 'SeedlingAge LaborAvailability CalendarDate IrrigWaterAvailability'
 'IrrigWaterAvailability LaborAvailability RainArrival SeedlingAge CalendarDate'
 'RainArrival IrrigWaterAvailability LaborAvailability SeedlingAge'
 'RainArrival SeedlingAge LaborAvailability'
 'RainArrival SeedlingAge CalendarDate IrrigWaterAvailability']",289,Mode,CalendarDate SeedlingAge RainArrival IrrigWaterAvailability LaborAvailability
TransplantingIrrigationHours,float64,43,"[5.0e+00 4.0e+00     nan 9.0e+00 1.0e+00 2.0e+00 3.0e+00 6.0e+00 7.0e+00
 1.2e+01 1.3e+01 1.0e+01 1.5e+01 1.4e+01 8.0e+00 1.5e+02 2.2e+01 3.5e+01
 2.0e+01 9.0e+01 3.0e+01 2.5e+02 4.5e+02 6.5e+01 3.5e+02 4.0e+01 1.1e+01
 3.0e+02 1.8e+01 2.0e+02 4.5e+01 2.5e+01 2.1e+01 5.0e+01 7.2e+01 1.6e+01
 2.8e+01 1.9e+01 6.0e+01 2.3e+01 2.0e+03 2.4e+01 1.3e+02 1.7e+01]",193,Mean,8.01767745444656
TransplantingIrrigationSource,object,6,['Boring' nan 'Canal' 'Rainfed' 'Pond' 'TubeWell' 'Well'],115,Mode,Boring
TransplantingIrrigationPowerSource,object,3,['Electric' nan 'Diesel' 'Solar'],503,Mode,Electric
TransIrriCost,float64,100,"[2.000e+02 1.250e+02 8.000e+01       nan 3.000e+02 1.000e+02 3.500e+02
 1.800e+02 2.500e+02 1.000e+03 4.000e+02 1.500e+02 1.200e+02 6.000e+03
 8.000e+02 6.000e+02 5.200e+02 3.800e+02 5.000e+02 4.500e+02 3.750e+02
 3.000e+03 5.000e+01 1.100e+02 2.400e+02 3.200e+02 1.500e+03 1.050e+02
 2.300e+02 2.000e+01 1.400e+02 4.000e+00 4.200e+02 9.000e+01 1.600e+02
 2.000e+03 5.000e+00 2.750e+02 5.750e+02 4.000e+01 9.800e+01 9.000e+02
 7.000e+02 1.200e+01 2.500e+03 1.750e+02 1.700e+02 1.200e+03 3.000e+01
 7.000e+01 1.900e+02 2.800e+02 5.500e+02 1.000e+01 6.000e+01 2.000e+00
 9.500e+01 2.250e+02 2.200e+03 2.600e+02 6.000e+00 7.500e+01 7.500e+02
 2.100e+02 3.600e+02 1.100e+03 1.080e+02 2.200e+02 4.800e+02 3.580e+02
 8.000e+00 2.900e+02 1.000e+00 1.300e+02 2.700e+02 1.680e+02 1.600e+03
 6.500e+02 1.900e+03 3.000e+00 1.008e+03 1.400e+03 7.200e+01 2.500e+01
 2.100e+03 1.650e+02 8.400e+01 4.300e+02 5.800e+02 2.600e+03 9.600e+02
 4.750e+02 2.580e+02 8.800e+01 5.250e+02 9.700e+01 3.200e+03 4.400e+02
 1.180e+02 4.250e+02 9.500e+02]",882,Mean,379.7269076305221
StandingWater,float64,14,[ 2.  3. nan  6.  5.  1.  4. 11.  9.  8.  7. 12. 10. 15. 13.],238,Mean,3.247522026431718
OrgFertilizers,object,31,"[nan 'Ganaura FYM' 'Ganaura' 'FYM' 'VermiCompost'
 'Ganaura Pranamrit Ghanajeevamrit' 'FYM VermiCompost'
 'Ganaura Ghanajeevamrit' 'Ghanajeevamrit Ganaura FYM'
 'Ganaura FYM Ghanajeevamrit' 'FYM Ganaura' 'Pranamrit'
 'FYM Ganaura VermiCompost' 'Ganaura FYM VermiCompost' 'Jeevamrit'
 'VermiCompost FYM' 'Ganaura FYM VermiCompost Ghanajeevamrit'
 'Ganaura FYM PoultryManure' 'Ghanajeevamrit Ganaura' 'PoultryManure'
 'Ganaura VermiCompost FYM' 'Ganaura PoultryManure'
 'Ganaura Ghanajeevamrit VermiCompost' 'FYM Ghanajeevamrit'
 'Ghanajeevamrit FYM Ganaura' 'Ganaura Ghanajeevamrit FYM'
 'Ganaura FYM PoultryManure VermiCompost' 'Ganaura Pranamrit'
 'Ganaura VermiCompost Ghanajeevamrit' 'Ganaura Pranamrit FYM'
 'Ganaura Jeevamrit' 'Ganaura FYM Ghanajeevamrit VermiCompost']",1335,Mode,Ganaura
Ganaura,float64,35,"[    nan 1.0e+00 4.0e+00 2.0e+00 2.5e+01 3.0e+00 5.0e+00 4.5e+01 6.0e+02
 5.0e+01 1.0e+01 2.2e+01 6.0e+00 1.2e+01 5.0e+02 9.0e+00 1.5e+01 8.0e+00
 2.0e+01 1.0e+02 8.0e+01 2.8e+01 7.0e+00 1.8e+01 1.2e+03 1.6e+01 8.0e+02
 3.0e+01 1.2e+02 4.0e+01 1.1e+01 9.0e+02 1.4e+02 6.5e+02 1.4e+03 2.9e+01]",2417,Mean,29.731589814177564
CropOrgFYM,float64,44,"[    nan 1.0e+00 5.0e+00 2.0e+00 1.8e+01 3.5e+01 3.0e+00 1.5e+01 4.0e+00
 8.0e+00 1.5e+03 6.0e+00 1.0e+01 4.0e+01 1.2e+01 1.1e+03 2.0e+01 2.0e+03
 3.0e+03 2.5e+01 3.0e+01 1.2e+03 1.6e+01 1.9e+01 1.7e+01 1.1e+01 6.0e+02
 1.3e+01 1.4e+01 3.0e+02 9.0e+00 1.8e+03 2.2e+01 7.0e+00 5.0e+01 4.0e+03
 1.0e+02 5.0e+02 2.3e+03 2.5e+03 6.0e+01 8.0e+01 1.6e+03 2.2e+03 3.8e+01]",2674,Mean,57.44565217391305
PCropSolidOrgFertAppMethod,object,4,[nan 'SoilApplied' 'Broadcasting' 'RootApplication' 'Spray'],1337,Mode,SoilApplied
NoFertilizerAppln,int64,4,[2 3 1 4],0,Mean,2.184496124031008
CropbasalFerts,object,34,"['Urea' 'DAP Urea' 'DAP' 'Urea DAP' 'DAP Other' nan 'DAP Urea SSP' 'NPK'
 'Urea SSP DAP' 'DAP Urea MoP' 'NPK Urea' 'Urea NPKS' 'DAP Urea NPKS SSP'
 'DAP Urea NPKS' 'DAP MoP' 'Urea DAP NPKS' 'Urea DAP SSP' 'Urea SSP'
 'DAP Urea SSP MoP' 'DAP SSP' 'NPK DAP Urea' 'DAP NPKS Other' 'DAP NPKS'
 'Urea NPK' 'Urea NPKS DAP' 'Urea DAP MoP' 'DAP Urea NPKS MoP'
 'DAP NPKS Urea' 'DAP NPK Urea' 'SSP Urea' 'DAP Urea NPK'
 'DAP NPKS Urea SSP' 'NPKS' 'NPKS DAP Urea' 'Urea Other DAP']",188,Mode,DAP Urea
BasalDAP,float64,44,"[ nan  15.   4.   6.   3.   5.  13.   9.  10.   2.  24.   8.  20.   7.
  12.  22.  14.  36.  18.  30.   1.  25.  16.  50.  11.  23.  40.  60.
  33.  44.  17.  28.  32.  21.  19.  35.  26. 100.  69.  48.  34.  45.
  37.  27.  38.]",543,Mean,11.452359483017734
BasalUrea,float64,41,"[20. 10. nan  3. 30.  8. 18. 15.  9. 25.  5. 12. 11.  7. 40. 22. 24. 14.
 13.  4. 36.  2.  6. 45. 28. 16. 60. 42. 17.  1. 32. 21. 23. 70. 50. 19.
 90. 33. 44. 35. 34. 26.]",1704,Mean,13.35180055401662
MineralFertAppMethod,object,3,['Broadcasting' 'SoilApplied' 'RootApplication'],0,Mode,Broadcasting
FirstTopDressFert,object,14,"['Urea' 'DAP Urea' 'Urea DAP' nan 'DAP' 'NPKS Urea' 'NPK' 'Urea NPKS'
 'DAP NPK Urea' 'DAP NPKS' 'Urea NPK' 'DAP NPK' 'Urea SSP' 'NPK Urea'
 'Other Urea']",485,Mode,Urea
1tdUrea,float64,44,"[15. 20.  5. 30.  6.  4. 18.  2.  9. 10. 12. 26. nan  8. 24.  7. 25. 40.
 13. 16. 22.  3. 36. 14. 45. 28. 11.  1. 32. 34. 60. 50. 38. 35. 23. 70.
 29. 21. 19. 42. 52. 46. 80. 17. 90.]",556,Mean,11.513880506940254
1appDaysUrea,float64,57,"[ 18.  39.  65.   5.  26.  30.  28.  35.  20.  25.  40.  50.  nan  23.
   8.  10.  45.  12.  15.  22.  62.  42.  29.  27.  24.   1.  32.  46.
  38.  44.  19.   3.  55.  36.   7.  21.  48.  31.  34.   6.   9.  13.
  16.  43.  60.  41.   2.  33.  37.   4.  75.  11.  14.  63.  52. 332.
  70.  47.]",556,Mean,29.20036210018105
2tdUrea,float64,29,"[nan  6.  7. 12.  1.  5. 10.  8. 16.  4.  3.  2. 13. 15.  9. 14. 18. 25.
 20. 23. 29. 30. 24. 19. 40. 67. 60. 32. 21. 11.]",2694,Mean,7.375
2appDaysUrea,float64,38,"[nan 67. 58. 65. 60. 56. 50. 62. 68. 45. 63. 55. 75. 30. 66. 40. 57. 70.
 64. 25. 51.  8. 46. 78. 80. 72. 76. 73. 61. 15. 59. 69. 10. 85. 52.  6.
 35.  1. 97.]",2700,Mean,58.76495726495727
MineralFertAppMethod.1,object,3,['Broadcasting' 'RootApplication' nan 'SoilApplied'],481,Mode,Broadcasting
Harv_method,object,2,['machine' 'hand'],0,Mode,hand
